date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:25:08	37/37	---M--	200	added ('OK')	text/plain	etag:%2225-666134a8-cae820a6159764b5;;;%22	https://springcoiling.com/robots.txt		(from )
09:25:08	23649/23649	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Nov%202024%2006:25:07%20GMT	https://springcoiling.com/	springcoiling.com/index.html	(from )
09:25:08	92205/92205	---M-Z	200	added ('OK')	image/x-icon	etag:%221682d-666134a8-c0eb9277ed11f727;gz%22	https://springcoiling.com/template/default/images/aaaa/favicon.ico	springcoiling.com/template/default/images/aaaa/favicon.ico	(from https://springcoiling.com/)
09:25:09	147430/147430	---M-Z	200	added ('OK')	text/css	etag:%2223fe6-666134a8-dd777e86e7dd2f0a;gz%22	https://springcoiling.com/template/default/css/bootstrap.css	springcoiling.com/template/default/css/bootstrap.css	(from https://springcoiling.com/)
09:25:10	37414/37414	---M-Z	200	added ('OK')	text/css	etag:%229226-666134a8-6e2471c71c40a88;gz%22	https://springcoiling.com/template/default/css/font-awesome.css	springcoiling.com/template/default/css/font-awesome.css	(from https://springcoiling.com/)
09:25:11	1476/1476	---M-Z	200	added ('OK')	text/css	etag:%225c4-666134a8-1609daa846d98f7d;gz%22	https://springcoiling.com/template/default/css/owl.carousel.css	springcoiling.com/template/default/css/owl.carousel.css	(from https://springcoiling.com/)
09:25:12	1670/1670	---M-Z	200	added ('OK')	text/css	etag:%22686-666134a8-42434ee097317a68;gz%22	https://springcoiling.com/template/default/css/owl.theme.css	springcoiling.com/template/default/css/owl.theme.css	(from https://springcoiling.com/)
09:25:13	577/577	---M-Z	200	added ('OK')	text/css	etag:%22241-666134a8-1d5394d40f19d58;gz%22	https://springcoiling.com/template/default/css/futuran-webfont.css	springcoiling.com/template/default/css/futuran-webfont.css	(from https://springcoiling.com/)
09:25:14	36138/36138	---M-Z	200	added ('OK')	text/css	etag:%228d2a-666134a8-357adb66d5bb6c9b;gz%22	https://springcoiling.com/template/default/css/style.css	springcoiling.com/template/default/css/style.css	(from https://springcoiling.com/)
09:25:15	7428/7428	---M-Z	200	added ('OK')	text/css	etag:%221d04-666134a8-3ac3ae0b452f8753;gz%22	https://springcoiling.com/template/default/css/style-responsive.css	springcoiling.com/template/default/css/style-responsive.css	(from https://springcoiling.com/)
09:25:16	247597/247597	---M-Z	200	added ('OK')	application/x-javascript	etag:%223c72d-666134a8-9b029f92838c88b3;gz%22	https://springcoiling.com/template/default/js/jquery-2.1.4.js	springcoiling.com/template/default/js/jquery-2.1.4.js	(from https://springcoiling.com/)
09:25:17	766/766	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2005%20Nov%202024%2006:25:17%20GMT	https://springcoiling.com/index.html	springcoiling.com/index-2.html	(from https://springcoiling.com/)
09:25:18	28083/28083	---M--	200	added ('OK')	image/png	etag:%226db3-666134a1-31160b510e56410b;;;%22	https://springcoiling.com/static/upload/image/20200918/1600406798548297.png	springcoiling.com/static/upload/image/20200918/1600406798548297.png	(from https://springcoiling.com/)
09:25:19	766/766	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2005%20Nov%202024%2006:25:19%20GMT	https://springcoiling.com/contactus.html	springcoiling.com/contactus.html	(from https://springcoiling.com/)
09:25:24	476595/476595	---M--	200	added ('OK')	image/jpeg	etag:%22745b3-666134a8-39c82c6735dc0a09;;;%22	https://springcoiling.com/template/default/images/aaaa/bannerzy.jpeg	springcoiling.com/template/default/images/aaaa/bannerzy.jpg	(from https://springcoiling.com/)
09:25:24	3907/3907	---M--	200	added ('OK')	image/png	etag:%22f43-666134a8-55f27809a37c768d;;;%22	https://springcoiling.com/template/default/images/midbar.png	springcoiling.com/template/default/images/midbar.png	(from https://springcoiling.com/)
09:25:25	14390/14390	---M-Z	200	added ('OK')	text/html	date:Tue,%2005%20Nov%202024%2006:25:24%20GMT	https://springcoiling.com/?about/	springcoiling.com/indexdbe3.html	(from https://springcoiling.com/)
09:25:25	20613/20613	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Nov%202024%2006:25:24%20GMT	https://springcoiling.com/?Springmachine-product/	springcoiling.com/index668a.html	(from https://springcoiling.com/)
09:25:25	12748/12748	---M-Z	200	added ('OK')	text/html	date:Tue,%2005%20Nov%202024%2006:25:25%20GMT	https://springcoiling.com/?servio/	springcoiling.com/index93b1.html	(from https://springcoiling.com/)
09:25:25	14780/14780	---M-Z	200	added ('OK')	text/html	date:Tue,%2005%20Nov%202024%2006:25:25%20GMT	https://springcoiling.com/?new/	springcoiling.com/indexe626.html	(from https://springcoiling.com/)
09:25:27	100597/100597	---M--	200	added ('OK')	image/jpeg	etag:%22188f5-666134a8-30786c9a2145749e;;;%22	https://springcoiling.com/template/default/images/aaaa/industrial.jpg	springcoiling.com/template/default/images/aaaa/industrial.jpg	(from https://springcoiling.com/)
09:25:27	13971/13971	---M-Z	200	added ('OK')	text/html	date:Tue,%2005%20Nov%202024%2006:25:27%20GMT	https://springcoiling.com/?contactus/	springcoiling.com/index263b.html	(from https://springcoiling.com/)
09:25:28	107924/107924	---M--	200	added ('OK')	image/jpeg	etag:%221a594-666134a8-75f9f351181bb8e3;;;%22	https://springcoiling.com/template/default/images/aaaa/avanzada.jpg	springcoiling.com/template/default/images/aaaa/avanzada.jpg	(from https://springcoiling.com/)
09:25:28	76273/76273	---M--	200	added ('OK')	image/jpeg	etag:%22129f1-666134a8-cd6d0febdd2814df;;;%22	https://springcoiling.com/template/default/images/aaaa/professional.jpg	springcoiling.com/template/default/images/aaaa/professional.jpg	(from https://springcoiling.com/)
09:25:30	133524/133524	---M--	200	added ('OK')	image/jpeg	etag:%2220994-666134a8-f506ab6fcdb3d99f;;;%22	https://springcoiling.com/template/default/images/aaaa/elegirnos.jpg	springcoiling.com/template/default/images/aaaa/elegirnos.jpg	(from https://springcoiling.com/)
09:25:31	119337/119337	---M--	200	added ('OK')	image/jpeg	etag:%221d229-666134a1-774a3d21d38b0ff0;;;%22	https://springcoiling.com/static/upload/image/20200918/1600416510377507.jpg	springcoiling.com/static/upload/image/20200918/1600416510377507.jpg	(from https://springcoiling.com/)
09:25:31	14119/14119	---M-Z	200	added ('OK')	text/html	date:Tue,%2005%20Nov%202024%2006:25:31%20GMT	https://springcoiling.com/?spring-coiling-machine/	springcoiling.com/index3a9f.html	(from https://springcoiling.com/)
09:25:32	78378/78378	---M--	200	added ('OK')	image/jpeg	etag:%221322a-666134a8-d0db3de5755156ee;;;%22	https://springcoiling.com/static/upload/other/20200922/1600766162318050.jpeg	springcoiling.com/static/upload/other/20200922/1600766162318050.jpg	(from https://springcoiling.com/)
09:25:32	13021/13021	---M-Z	200	added ('OK')	text/html	date:Tue,%2005%20Nov%202024%2006:25:32%20GMT	https://springcoiling.com/?Spring-forming-machine/	springcoiling.com/index2586.html	(from https://springcoiling.com/)
09:25:32	82998/82998	---M--	200	added ('OK')	image/png	etag:%2214436-666134a1-97a77cb1b0bec5f0;;;%22	https://springcoiling.com/static/upload/image/20200922/1600769400498673.png	springcoiling.com/static/upload/image/20200922/1600769400498673.png	(from https://springcoiling.com/)
